sample_id,ScoreType,nContigs,nARG,nMGE,nPAT,nARG_MGE,nARG_PAT,nARG_MGE_PAT,qARG,qMGE,qPAT,qARG_MGE,qARG_PAT,qARG_MGE_PAT,distance,RiskScore,Group
E430,Human health,28025,1,575,1,0,0,0,3.60E-05,0.020517,3.60E-05,0,0,0,1.999982,0.089205,final effluent
E433,Ecological,18352,144,1928,1777,25,48,8,0.007847,0.105057,0.096829,0.001362,0.002615519,0.000436,1.726492,32.094564,influent
E433,Human health,18352,11,1928,1,5,0,0,0.000599,0.105057,5.40E-05,0.000272,0,0,1.999564,2.179295,influent
E436,Ecological,26976,204,1711,1814,20,32,3,0.007562,0.063427,0.067245,0.000741,0.00118624,0.000111,1.727202,27.992553,final effluent
E436,Human health,26976,5,1711,0,0,0,0,0.000185,0.063427,0,0,0,0,1.999907,0.463343,final effluent
E439,Ecological,20651,95,1219,1207,12,20,3,0.0046,0.059029,0.058448,0.000581,0.000968476,0.000145,1.728979,17.735254,influent
E439,Human health,20651,10,1219,0,4,0,0,0.000484,0.059029,0,0.000194,0,0,1.999661,1.694637,influent
E441,Ecological,29317,17,613,217,0,0,0,0.00058,0.020909,0.007402,0,0,0,1.731716,1.932521,final effluent
E441,Human health,29317,4,613,0,0,0,0,0.000136,0.020909,0,0,0,0,1.999932,0.341082,final effluent
E445,Ecological,21591,194,2277,2973,51,84,27,0.008985,0.105461,0.137696,0.002362,0.00389051,0.001251,1.724788,41.934267,influent
E445,Human health,21591,22,2277,8,12,0,0,0.001019,0.105461,0.000371,0.000556,0,0,1.999213,3.935916,influent
E448,Ecological,19930,63,947,2053,10,26,7,0.003161,0.047516,0.103011,0.000502,0.001304566,0.000351,1.729735,13.371825,final effluent
E448,Human health,19930,2,947,0,0,0,0,0.0001,0.047516,0,0,0,0,1.99995,0.250869,final effluent
E451,Ecological,24340,217,2118,5056,30,93,11,0.008915,0.087017,0.207724,0.001233,0.003820871,0.000452,1.725944,35.259602,influent
E451,Human health,24340,9,2118,2,4,0,0,0.00037,0.087017,8.20E-05,0.000164,0,0,1.999733,1.335135,influent
E453,Ecological,26086,51,835,1987,6,26,3,0.001955,0.03201,0.076171,0.00023,0.000996703,0.000115,1.730723,7.663403,final effluent
E453,Human health,26086,3,835,1,0,0,0,0.000115,0.03201,3.80E-05,0,0,0,1.999943,0.287498,final effluent
